Mes;Dia;Hora;Ta;Global;Difusa
4;3;11;19.45;812;172
4;3;12;21.08;851;184
4;3;13;22.27;843;166
4;3;14;23.09;773;144
4;3;15;23.53;641;126
4;3;16;23.52;469;101
4;3;17;22.98;265;76
4;3;18;21.29;64;35
4;4;7;6.47;178;68
4;4;8;11.38;380;105
4;4;9;14.53;565;136
4;4;10;17;718;154
4;4;11;19.07;812;180
4;4;12;20.82;846;201
4;4;13;22.13;837;182
4;4;14;22.98;772;151
4;4;15;23.36;638;139
4;4;16;23.21;465;114
4;4;17;22.48;263;86
4;4;18;20.69;65;37
4;5;7;9.3;181;72
4;5;8;11.58;386;107
4;5;9;13.71;567;142
4;5;10;15.77;718;160
4;5;11;17.7;816;180
4;5;12;19.44;850;202
4;5;13;20.88;846;175
4;5;14;21.92;775;151
4;5;15;22.4;637;144
4;5;16;22.21;463;122
4;5;17;21.42;263;90
4;5;18;20;76;32
4;6;7;8.73;177;82
4;6;8;13.01;380;123
4;6;9;17.56;566;153
4;6;10;19.71;727;154
4;6;11;21.25;830;165
4;6;12;22.29;868;177
4;6;13;22.82;854;167
4;6;14;23.14;779;152
4;6;15;22.62;637;151
4;6;16;22.32;463;126
4;6;17;21.79;263;94
4;6;18;20.54;68;39
4;7;7;11.36;94;88
4;7;8;12.32;281;200
4;7;9;13.12;259;247
4;7;10;13.74;402;351
4;7;11;14.74;313;308
4;7;12;14.98;240;240
